Playing from Queue: 1   "After Hours"
Playing from Queue: 2   "Blinding Lights"
Playing from Queue: 3   "Blueberry Faygo"
Playing from Queue: 4   "Don't Start Now"
Playing from Queue: 5   "Forever (feat. Post Malone & Clever)"
Playing from Queue: 6   "Godzilla (feat. Juice WRLD)"
Playing from Queue: 7   "High Fashion (feat. Mustard)"
Playing from Queue: 8   "Intentions (feat. Quavo)"
Playing from Queue: 9   "Life Is Good (feat. Drake)"
Playing from Queue: 10   "No Time To Die"
Playing from Queue: 11   "Say So"
Playing from Queue: 12   "Stupid Love"
Playing from Queue: 13   "That Way"
Playing from Queue: 14   "The Box"
Playing from Queue: 15   Circles
Playing from Queue: 16   Falling
Playing from Queue: 17   Intentions
Playing from Queue: 18   ROXANNE
